date,valid_pixels,mean_inundation,median_inundation,max_inundation,pixels_ge_025_pct,pixels_ge_050_pct,pixels_ge_075_pct
2001-09-10,54707,0.4026400148868561,0.2980809509754181,0.997378945350647,56.113477251540026,32.98480998775294,21.810737199992687
2001-09-18,54707,0.406279593706131,0.29199203848838806,0.9969434142112732,54.73339791982744,34.28811669439011,23.08662511196008
2001-09-26,54707,0.34961003065109253,0.18970966339111328,0.9955316781997681,43.94684409673351,29.500795145045423,20.704845814977972
2001-10-04,54707,0.3514222502708435,0.19615823030471802,0.9946244359016418,44.45134991865757,29.674447511287404,20.85290730619482
2001-10-12,54707,0.3477296531200409,0.18280068039894104,0.9946444034576416,43.94501617708885,29.833476520372166,20.77796260076407
2001-10-20,54707,0.31858280301094055,0.13739193975925446,0.993913471698761,39.890690405249785,27.376752517959314,19.57701939422743
2001-10-28,54707,0.29602760076522827,0.1112089455127716,0.9940669536590576,37.05558703639388,25.307547480212772,18.306615241193995
2001-11-05,54707,0.29792287945747375,0.12121070921421051,0.9927206039428711,37.918365108669825,25.334966274882557,17.540716910084633
2001-11-13,54707,0.27707037329673767,0.11143182963132858,0.9911900758743286,35.9752865264043,23.199956129928527,14.72937649660921
2001-11-21,54707,0.25643783807754517,0.10004220902919769,0.9888538122177124,34.03769170307273,21.28429634233279,12.332973842469885
2001-11-29,54707,0.25792887806892395,0.12157777696847916,0.9892076849937439,35.11616429341766,20.353885243204708,9.984097099091525
2001-12-07,54707,0.24606119096279144,0.14464716613292694,0.9848104119300842,35.176485641691194,17.050834445317783,6.408686274151389
2001-12-15,54707,0.2521016001701355,0.15597812831401825,0.9896117448806763,35.5603487670682,17.005136454201473,6.525673131409143
2001-12-23,54707,0.298844575881958,0.24894313514232635,0.9877499938011169,49.77790776317473,17.856947008609502,5.555047800098708
2001-12-31,54707,0.336195170879364,0.3023271858692169,0.9886588454246521,59.89178715703658,20.81817683294642,5.2205385051273145
2002-01-05,54707,0.3698023855686188,0.348711222410202,0.9913921356201172,68.45010693329921,25.132067194326137,5.26989233553293
2002-01-29,54707,0.45338574051856995,0.47082942724227905,0.9589870572090149,82.36240334874878,44.29414882921747,6.112563291717696
2002-02-14,54707,0.7302787899971008,0.7774428129196167,0.9810677766799927,96.48308260368874,89.86601349004698,57.76408869066116
2002-02-22,54707,0.8158102631568909,0.8600257635116577,0.9837096929550171,99.12259857056684,94.42667300345477,81.89993967865172
2002-03-02,54707,0.8353113532066345,0.8867077231407166,0.9826927185058594,99.00926755259839,93.5766903686914,85.65997038770176
2002-04-03,54707,0.35983529686927795,0.3490579426288605,0.9702439308166504,75.58630522602226,17.292119838411903,1.376423492423273
2002-04-11,54707,0.13367438316345215,0.10696089267730713,0.9501605033874512,8.891001151589375,1.4787869925238086,0.23214579487085746
2002-04-19,54707,0.14759546518325806,0.11642950773239136,0.9528993964195251,11.413530261209717,2.039958323432102,0.3802072860877036
2002-04-27,54707,0.2057652324438095,0.15869757533073425,0.9504560232162476,28.599630760231783,6.490942658160748,0.8627780722759427
2002-05-05,54707,0.23632027208805084,0.1668045073747635,0.9793558716773987,33.734257042060435,12.095344288665071,3.1952035388524322
2002-05-13,54707,0.257447749376297,0.16572435200214386,0.9868168234825134,33.851243899318185,16.078381194362695,7.488986784140969
2002-05-21,54707,0.2890359163284302,0.17298536002635956,0.993303120136261,37.413859286745755,20.805381395433855,12.226954503080044
2002-05-29,54707,0.34782078862190247,0.23905207216739655,0.9949150085449219,48.569652878059486,28.115232054398888,16.752883543239438
